reviews,ratings,sentiments
reading lot geeky review youtube portal bought oneplus pls note using oneplus last many year expectation clear experience device say review unboxing thing influenced pls note bought money unlike leading reviewer unboxing video geek get free pls go blindly go user review bought money writing day experience phone gamer geek regular user want office work phone social medium blogging vlogging etc last oneplus phone using oneplus quite happy screen got broken replacement cost higher selling price device day arrived amazon opened lot excitement continued till held hand issue weight weighed much felt like holding brick thick hold one hand minute get deep red pit hand due blood circulation camera go conference tried clicking picture picture quality come well still thought may light background previous experience could believe good continued clicking picture really missed detailing zoom make blurred clicked magazine cover picture oneplus mp camera pic quality natural good click blur pic may image stabilization battery battery avg time teased iphone samsung series colleague friend battery life welcome league offer avg battery life never carried charger previous model start even two year carry even average usage wondering would phone battery life year hz refresh rate gimmick sell device give fluid experience soon consumes battery always prefer keep hz option given display setting always stick desk power source around keep hz people move time fall sound average phone call crisp clear time caller voice get hazy husky voice even audible person person sitting next even lower volume speaker volume loud sound quality good premium feeling anymore multiple variant joined league samsung mi oppo vivo launching pro oct disappointment bought day maybe r trial problem every two month launching new device update previous fault like oneplus voice receiver one side right take call hear phone left get clear voice volume added receiver side device still getting spent r camera quality battery life sound quality call getting wound holding long always recommended oneplus device everyone around high hope trust brand bought day launch experience recommend oneplus colleague friend planning upgrade device,3,1
detailed review design reduced notch premium glass back camera bumpperformance latest greatest hardware smart optimisationsos smooth android experience oxygen osdisplay butter smooth hz amoled display treat eyebattery fastest charging ever seen le capacitycamera overall good output camera amazing macro mode miss detail mess color sometimesaudio clear loud quality output,4,1
awesome experience best class camera oxygen o love,5,1
received one plus day back describe experience day firstly kudos amazon quick delivery excellent packaging coming mobile first impression amazing smooth fast come amoeld display stunning camera amazing battery backup also good took min charge pro camera battery display performance speed gaming experience consno headset jack one plus even provide mm type c converter either dissapointed camera design could made better feel better compared apple pro overall one plus prof best mobile right go,5,1
phone great performance good camera ambiance charging fast per oneplus standard set earlier phone concerning heating issue crop battery drain quickly keep hz longer life anyone else feeling heating issue,4,1
gb ram gb storage super amazing phone super fast like bullet train obviously never hang camera quality better oneplus triple camera design phone also amazing turbo charging mah battery good,5,1
first one make sad received ph manufacturing defect display gum came edge display consumer aspect reputed brand paying,1,-1
among first buy phone prime membership posting review week using phone compare flagship first one range loved hz display fingerprint reader also quite good lagging issue till battery backup good excellent higher frame rate man charging speed much wonderful totally amazed first camera quality good colour sensing need improvement bit warm natural see photo provided one without adjustment one warmth reduced bit speaker loud produce decent sound checked selfie camera video recording till,5,1
one plus user oneplus one oneplus oneplus like android phone due ui love stock android camara awesomefacing problem notification know top expecting great battery average moved buy wireless headphone worried bluetooth connection also good stable,5,1
earphone jack,4,0
one worst phone ever purchased please dont buy phone put hard earned money stake many con phone earlier used one plus phone knew expect phone time much disappointed concern screen resolution quality screen poor grain color banding issue screen image look grainy unsharp comparision one plus phone ratio instagram image shown portrait mode instead landscape mode image screen blurrry design phone mess much camera bulk even provided case protect scratch phone fat haevy length also much ratio also premium feeling holding phone one plus mm jack big ommission since one plus phone benefit removing bigger battery also buy seperate adapter new blutooth earphone blutooth earphone quality never good wired earphone camera quality average increase picture quality camera name sake happy one plus customer recommend phone anyone please dont waste money,1,-1
st update battery capacity good,5,1
smart lock feature working phone require pin fingerprint sensor sometimes get unlocked side power button creates big security issue battery back pathetic great camera make totally underserving kind price oneplus selling device option available would asked refund,1,1
camera quality l gesture condition package good,5,1
beast put one plus back game product launched oneplus instead pro phone processing speed camera look n feel performance lag charging highlight ghz screen refresh rate something put oneplus league iphones con nightmode could better upto mark pixel even iphone battery could mah still warp mind blowing deal memory slot could arranged wow factor telephoto lens configs gb combo sufficientnow coming comparison iphone xr iphone personally would prefer oneplus flexibility android ecosystem provides user verdict perfect benchmark parameter performance wise showstopper upgrade save money iphone yes,5,1
amazing phone charging awesome min,5,1
many feature tell tell two problem battery draining like hell heating issue know two severe problem facing play game never ever expected experience premium phone,3,-1
