reviews,ratings,sentiments
good finishing,5,1
awesome phone loved,5,1
oneplus standing battery performance hz nd hzits mah battery charging capacity op w warp charging much faster actually beyond imagination believe specific review oneplus awesome every aspect op camera sensational display one best speaker ever use impressive o think much go,5,1
first one plus device reviewing week usage biggest concern buying phone battery read lot review saying good battery guess pretty decent moderate user charging speed pretty quick min charge good go camera amazing aspect ui best screenquality decent processing speed super quick,5,1
nice mobile dream mobile best mobile year,5,1
everything amazing phone totally worth money want rounder phone great photography amazing camera good display go otherwise go asus rog phone k also beast great user experience camera okayish give great gaming experience rounder user experience eco system premium guarantee update ro,5,1
overall amazing,5,1
awesome mobile love,5,1
everything great,5,1
st time purchased one plus series phone usualy preferred samsung galaxy series nice device good design performance word,5,1
well awesome smartphone oneplus rangethe phone good performance good battery charge fast warp charging percentage jus min problem device heating little bit otherwise problem,4,1
best performing smartphone camera price segment need download gcam,5,1
love phone,5,1
love camera super,4,1
doubt best phone k,5,1
apple ka baap,5,0
excellent low cost flagship,5,1
good one,5,1
one plus best phone good price using one plus since one plus,5,1
great service product,5,1
overall good value money problem facing overheating phone call hour,4,1
nice camera,5,1
tool good,4,1
nice one value money,5,1
beautiful phone st one plus glad switched samsung camera amazing night shot come great even without flash warp charging awesome build quality superb battery last whole day performance good hope phone continues perform way,5,1
selfie camera best level average back camera best big disadvantage zoom mode available selfie potrait mode,4,1
amazing product one plus,5,1
heating issue,1,0
best phone ever must buy thanks flipcart,5,1
worst experience nownward buy anything flipkart bad experience ever,1,-1
one plus good experience photo quality pretty,5,1
super best value money,5,1
straight point battery okish hour life end end day charger cancel con say min max display best camera crystal clear processor smooth swift overall best phone k segment,5,1
got old used piece apparentlybought giftbasic function like gallery working lost money well reputation tried returning productreturn workstuck loss huge moneyflipkart even respondbetter purchase store,1,1
best phone camera prosser,5,1
nice mobile,5,1
battery performance good,1,1
nice phone performance nice,5,1
good,5,1
god true gamer want increase screen size,5,1
good fantastic product,5,1
dear flipkart firstly would like say thanks phone awesome great experience good battery camera etc thanks one plus launching great phone hope run smoothly like future also regard ekram syed,5,1
st week use phone stopped working display went dead never dropped phone damage scratch stopped working sudden,1,-1
awesome phone gaming camera,4,1
amazing macro mode camera super smooth interface charging speed commendable battery back good easily give day backup loving new one plus,5,1
charging issue,1,0
oneplus good job man,5,1
best phone range,5,1
best phone get price range,5,1
ultimate phone excellent display quality sound quality camera quality,5,1
one plus better overall performer realme x pro rog phone whereas realme experience high end smartphone market let say brand matured oneplus hand rog phone daily driver beast phone focussed gaming lack overall package,5,1
haa worst experience purchasing device flipkart bought oneplus next day battery drainage started per flipkart reseller device battery drain min considered battery drainage pretty logical chasing flipkart whole week rebuttal replace swap device technician checked everything else technician pe,1,-1
wonderful camera performance battery could better must buy price range,5,1
give fake data cable want original data cablesecond battery backup low compare battery backup maham disappointed,1,-1
bad service quality,1,-1
good one,5,1
superb quality phone amezing performance,5,1
good camera,5,1
good,5,1
india brand best phone one plus camera nice gaming performance,5,1
phone devil aswoome,5,0
phenomenal decision made samsung oneplus first worthy upgrade till date thank oneplus providing outstanding mobile phone indian market rocked like bos everything beyond expectation whether camera super fast charging blazing fast performance,5,1
oneplus super smooth display look battery backup okey sound quality camera quality,5,1
worth,5,1
osm,4,0
next level,5,0
overall best class standard,5,1
update review monthoverall good performance every side mobile rock suprbbbbb,5,1
awesome phone value money oneplus always take care customer satisfaction mind blowing,5,1
impressive mobile however improve battery performance mobile need,4,1
totally awesome,5,1
l feature best superbb,5,1
awesome mobilesuperb camerasmooth excellent performancevalue money,5,1
sprb delivery time tooo late,5,-1
plus,5,0
phone value money loved,5,1
include manual quick start guide,5,1
